Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Sun, Nov 13, 2022",6:00p,Memphis Grizzlies,92.0,Washington Wizards,102.0,Capital One Arena
"Sun, Nov 13, 2022",7:30p,Utah Jazz,98.0,Philadelphia 76ers,105.0,Wells Fargo Center
"Sun, Nov 13, 2022",8:00p,Denver Nuggets,126.0,Chicago Bulls,103.0,United Center
"Sun, Nov 13, 2022",9:00p,Golden State Warriors,115.0,Sacramento Kings,122.0,Golden 1 Center
"Sun, Nov 13, 2022",9:30p,Brooklyn Nets,103.0,Los Angeles Lakers,116.0,Crypto.com Arena
"Mon, Nov 14, 2022",7:00p,Toronto Raptors,115.0,Detroit Pistons,111.0,Little Caesars Arena
"Mon, Nov 14, 2022",7:00p,Charlotte Hornets,112.0,Orlando Magic,105.0,Amway Center
"Mon, Nov 14, 2022",7:30p,Oklahoma City Thunder,122.0,Boston Celtics,126.0,TD Garden
"Mon, Nov 14, 2022",7:30p,Phoenix Suns,112.0,Miami Heat,113.0,FTX Arena
"Mon, Nov 14, 2022",8:00p,Los Angeles Clippers,122.0,Houston Rockets,106.0,Toyota Center
"Mon, Nov 14, 2022",8:00p,Atlanta Hawks,121.0,Milwaukee Bucks,106.0,Fiserv Forum
"Mon, Nov 14, 2022",10:00p,San Antonio Spurs,95.0,Golden State Warriors,132.0,Chase Center
"Tue, Nov 15, 2022",7:30p,Memphis Grizzlies,102.0,New Orleans Pelicans,113.0,Smoothie King Center
"Tue, Nov 15, 2022",8:30p,Los Angeles Clippers,101.0,Dallas Mavericks,103.0,American Airlines Center
"Tue, Nov 15, 2022",9:00p,New York Knicks,118.0,Utah Jazz,111.0,Vivint Arena
"Tue, Nov 15, 2022",10:00p,San Antonio Spurs,110.0,Portland Trail Blazers,117.0,Moda Center
"Tue, Nov 15, 2022",10:00p,Brooklyn Nets,121.0,Sacramento Kings,153.0,Golden 1 Center
"Wed, Nov 16, 2022",7:00p,Indiana Pacers,125.0,Charlotte Hornets,113.0,Spectrum Center
"Wed, Nov 16, 2022",7:00p,Minnesota Timberwolves,126.0,Orlando Magic,108.0,Amway Center
"Wed, Nov 16, 2022",7:00p,Oklahoma City Thunder,121.0,Washington Wizards,120.0,Capital One Arena
"Wed, Nov 16, 2022",7:30p,Boston Celtics,126.0,Atlanta Hawks,101.0,State Farm Arena
"Wed, Nov 16, 2022",7:30p,Miami Heat,104.0,Toronto Raptors,112.0,Scotiabank Arena
"Wed, Nov 16, 2022",8:00p,Cleveland Cavaliers,98.0,Milwaukee Bucks,113.0,Fiserv Forum
"Wed, Nov 16, 2022",8:00p,Chicago Bulls,110.0,New Orleans Pelicans,124.0,Smoothie King Center
"Wed, Nov 16, 2022",8:30p,Houston Rockets,101.0,Dallas Mavericks,92.0,American Airlines Center
"Wed, Nov 16, 2022",10:00p,New York Knicks,106.0,Denver Nuggets,103.0,Ball Arena
"Wed, Nov 16, 2022",10:00p,Golden State Warriors,119.0,Phoenix Suns,130.0,Footprint Center
"Thu, Nov 17, 2022",10:00p,Brooklyn Nets,109.0,Portland Trail Blazers,107.0,Moda Center
"Thu, Nov 17, 2022",10:00p,San Antonio Spurs,112.0,Sacramento Kings,130.0,Golden 1 Center
"Thu, Nov 17, 2022",10:30p,Detroit Pistons,91.0,Los Angeles Clippers,96.0,Crypto.com Arena
"Fri, Nov 18, 2022",7:00p,Miami Heat,106.0,Washington Wizards,107.0,Capital One Arena
"Fri, Nov 18, 2022",7:30p,Charlotte Hornets,122.0,Cleveland Cavaliers,132.0,Rocket Mortgage Fieldhouse
"Fri, Nov 18, 2022",7:30p,Milwaukee Bucks,102.0,Philadelphia 76ers,110.0,Wells Fargo Center
"Fri, Nov 18, 2022",8:00p,Orlando Magic,108.0,Chicago Bulls,107.0,United Center
"Fri, Nov 18, 2022",8:00p,Indiana Pacers,99.0,Houston Rockets,91.0,Toyota Center
"Fri, Nov 18, 2022",8:00p,Oklahoma City Thunder,110.0,Memphis Grizzlies,121.0,FedEx Forum
"Fri, Nov 18, 2022",8:30p,Denver Nuggets,99.0,Dallas Mavericks,127.0,American Airlines Center
"Fri, Nov 18, 2022",8:30p,Boston Celtics,117.0,New Orleans Pelicans,109.0,Smoothie King Center
"Fri, Nov 18, 2022",9:00p,Phoenix Suns,133.0,Utah Jazz,134.0,Vivint Arena
"Fri, Nov 18, 2022",10:00p,New York Knicks,101.0,Golden State Warriors,111.0,Chase Center
"Fri, Nov 18, 2022",10:30p,Detroit Pistons,121.0,Los Angeles Lakers,128.0,Crypto.com Arena
"Sat, Nov 19, 2022",6:00p,Toronto Raptors,122.0,Atlanta Hawks,124.0,State Farm Arena
"Sat, Nov 19, 2022",7:00p,Orlando Magic,113.0,Indiana Pacers,114.0,Gainbridge Fieldhouse
