Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,HomeTeamWon,Elo,Elo_home,Elo_away
39,39,39,39,39,39,"Sun, Oct 23, 2022",Utah Jazz,265,43,98,0.439,13,38,0.342,23,28,0.821,15,29,44,29,13,6,16,20,122,New Orleans Pelicans,265,48,102,0.471,8,27,0.296,17,22,0.773,14,31,45,30,8,6,17,22,121,1,-0.0118741002882917,0.0118741002882917,0.4827586206896552,0.4838709677419355,0.5098039215686274,0.5051020408163265,0.5662673156121303,0.5856374807987711,0,1500,1507.5,1503.5
40,40,40,40,40,40,"Sun, Oct 23, 2022",Minnesota Timberwolves,240,46,88,0.523,10,34,0.294,14,22,0.636,12,42,54,24,9,3,15,17,116,Oklahoma City Thunder,240,41,94,0.436,9,41,0.22,15,21,0.714,11,31,42,24,7,4,11,15,106,1,-0.1300605405643728,0.1300605405643729,0.2619047619047619,0.3870967741935484,0.4840425531914893,0.5795454545454546,0.5374163455688501,0.6247307195174494,0,1500,1492.4244489822993,1504.0755510177007
41,41,41,41,41,41,"Sun, Oct 23, 2022",Sacramento Kings,240,47,100,0.47,11,43,0.256,20,25,0.8,13,38,51,31,10,2,16,29,125,Golden State Warriors,240,45,87,0.517,14,33,0.424,26,36,0.722,6,31,37,24,7,5,13,21,130,0,0.0565835283663675,-0.0565835283663674,0.1578947368421052,0.4193548387096774,0.5977011494252874,0.525,0.6847871892119679,0.5924170616113744,1,1500,1500.0,1500.0
42,42,42,42,42,42,"Sun, Oct 23, 2022",Phoenix Suns,240,43,93,0.462,15,42,0.357,11,12,0.917,13,36,49,29,5,3,12,18,112,Los Angeles Clippers,240,36,82,0.439,9,32,0.281,14,20,0.7,9,34,43,16,10,0,14,18,95,1,-0.2374993137266562,0.2374993137266561,0.25,0.3823529411764705,0.4939024390243902,0.543010752688172,0.5497685185185185,0.5855290673358428,0,1500,1485.0,1515.0
43,43,43,43,43,43,"Mon, Oct 24, 2022",Indiana Pacers,240,38,90,0.422,12,44,0.273,18,23,0.783,14,33,47,27,3,4,13,23,106,Philadelphia 76ers,240,38,80,0.475,19,43,0.442,25,28,0.893,7,32,39,25,8,7,7,20,120,0,0.1789701410453193,-0.1789701410453194,0.2121212121212121,0.4375,0.59375,0.4888888888888889,0.6963788300835655,0.5575426046707342,1,1500,1504.1478281136976,1495.7011585549444
44,44,44,44,44,44,"Mon, Oct 24, 2022",Toronto Raptors,240,34,86,0.395,14,32,0.438,16,20,0.8,10,42,52,22,6,6,12,22,98,Miami Heat,240,29,83,0.349,8,34,0.235,24,27,0.889,8,38,46,19,5,3,12,15,90,1,-0.1228567477855334,0.1228567477855333,0.1904761904761904,0.2631578947368421,0.3975903614457831,0.4767441860465116,0.5059590735327187,0.5420353982300885,0,1500,1493.0352571415935,1503.4647428584065
45,45,45,45,45,45,"Mon, Oct 24, 2022",Orlando Magic,240,36,86,0.419,7,35,0.2,23,27,0.852,13,28,41,14,6,4,12,23,102,New York Knicks,240,43,93,0.462,11,37,0.297,18,25,0.72,18,32,50,24,7,3,13,24,115,0,0.1730647089728796,-0.1730647089728796,0.6428571428571429,0.40625,0.521505376344086,0.4593023255813953,0.583756345177665,0.554709593212965,1,1500,1521.942168225849,1482.1686066710042
46,46,46,46,46,46,"Mon, Oct 24, 2022",Boston Celtics,240,37,100,0.37,18,48,0.375,10,12,0.833,14,31,45,26,5,7,10,24,102,Chicago Bulls,240,42,87,0.483,10,21,0.476,26,29,0.897,14,46,60,29,4,6,13,18,120,0,0.2344652536370229,-0.2344652536370229,0.4516129032258064,0.3043478260869565,0.5402298850574713,0.46,0.642535874919683,0.4968823070927514,1,1500,1500.9437854269502,1490.9454396761967
47,47,47,47,47,47,"Mon, Oct 24, 2022",Utah Jazz,240,44,93,0.473,11,32,0.344,9,16,0.563,18,31,49,23,8,10,20,27,108,Houston Rockets,240,38,90,0.422,11,35,0.314,27,32,0.844,17,30,47,17,7,7,15,20,114,0,0.0780025120012731,-0.0780025120012732,0.5483870967741935,0.6,0.4833333333333333,0.532258064516129,0.587386644682605,0.5594695399917116,1,1500,1485.370913992403,1499.7801880429984
48,48,48,48,48,48,"Mon, Oct 24, 2022",Brooklyn Nets,240,47,87,0.54,9,29,0.31,21,26,0.808,9,26,35,27,4,7,11,30,124,Memphis Grizzlies,240,47,94,0.5,16,34,0.471,24,31,0.774,12,26,38,21,7,3,8,22,134,0,0.1118928800708971,-0.1118928800708972,0.4615384615384615,0.3461538461538461,0.5851063829787234,0.5919540229885057,0.6645506843880183,0.6686798964624676,1,1500,1496.100312982274,1492.2485849823245
