Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sun, Apr 18, 2021",7:00p,Oklahoma City Thunder,106,Toronto Raptors,112
"Sun, Apr 18, 2021",7:30p,Sacramento Kings,121,Dallas Mavericks,107
"Sun, Apr 18, 2021",10:00p,Minnesota Timberwolves,105,Los Angeles Clippers,124
"Mon, Apr 19, 2021",7:00p,Cleveland Cavaliers,105,Detroit Pistons,109
"Mon, Apr 19, 2021",7:30p,Chicago Bulls,102,Boston Celtics,96
"Mon, Apr 19, 2021",7:30p,Golden State Warriors,107,Philadelphia 76ers,96
"Mon, Apr 19, 2021",8:00p,San Antonio Spurs,109,Indiana Pacers,94
"Mon, Apr 19, 2021",8:00p,Houston Rockets,91,Miami Heat,113
"Mon, Apr 19, 2021",8:00p,Phoenix Suns,128,Milwaukee Bucks,127
"Mon, Apr 19, 2021",8:00p,Oklahoma City Thunder,107,Washington Wizards,119
"Mon, Apr 19, 2021",9:00p,Memphis Grizzlies,137,Denver Nuggets,139
"Mon, Apr 19, 2021",10:00p,Utah Jazz,111,Los Angeles Lakers,97
"Tue, Apr 20, 2021",7:30p,Orlando Magic,96,Atlanta Hawks,112
"Tue, Apr 20, 2021",7:30p,Brooklyn Nets,134,New Orleans Pelicans,129
"Tue, Apr 20, 2021",7:30p,Charlotte Hornets,97,New York Knicks,109
"Tue, Apr 20, 2021",10:00p,Los Angeles Clippers,113,Portland Trail Blazers,112
"Tue, Apr 20, 2021",10:00p,Minnesota Timberwolves,134,Sacramento Kings,120
"Wed, Apr 21, 2021",7:00p,Chicago Bulls,105,Cleveland Cavaliers,121
"Wed, Apr 21, 2021",7:00p,Oklahoma City Thunder,116,Indiana Pacers,122
"Wed, Apr 21, 2021",7:00p,Phoenix Suns,116,Philadelphia 76ers,113
"Wed, Apr 21, 2021",7:00p,Brooklyn Nets,103,Toronto Raptors,114
"Wed, Apr 21, 2021",7:00p,Golden State Warriors,114,Washington Wizards,118
"Wed, Apr 21, 2021",8:00p,Utah Jazz,112,Houston Rockets,89
"Wed, Apr 21, 2021",8:00p,Atlanta Hawks,127,New York Knicks,137
"Wed, Apr 21, 2021",8:30p,Detroit Pistons,117,Dallas Mavericks,127
"Wed, Apr 21, 2021",8:30p,Miami Heat,107,San Antonio Spurs,87
"Wed, Apr 21, 2021",10:00p,Memphis Grizzlies,105,Los Angeles Clippers,117
"Wed, Apr 21, 2021",10:00p,Denver Nuggets,106,Portland Trail Blazers,105
"Wed, Apr 21, 2021",10:00p,Minnesota Timberwolves,125,Sacramento Kings,128
"Thu, Apr 22, 2021",7:00p,Phoenix Suns,86,Boston Celtics,99
"Thu, Apr 22, 2021",7:00p,Philadelphia 76ers,117,Milwaukee Bucks,124
"Thu, Apr 22, 2021",7:00p,New Orleans Pelicans,135,Orlando Magic,100
"Thu, Apr 22, 2021",8:30p,Detroit Pistons,91,San Antonio Spurs,106
"Thu, Apr 22, 2021",9:00p,Charlotte Hornets,91,Chicago Bulls,108
"Thu, Apr 22, 2021",9:30p,Los Angeles Lakers,110,Dallas Mavericks,115
"Fri, Apr 23, 2021",7:30p,Miami Heat,103,Atlanta Hawks,118
"Fri, Apr 23, 2021",7:30p,Boston Celtics,104,Brooklyn Nets,109
"Fri, Apr 23, 2021",8:00p,Cleveland Cavaliers,102,Charlotte Hornets,108
"Fri, Apr 23, 2021",8:00p,Los Angeles Clippers,109,Houston Rockets,104
"Fri, Apr 23, 2021",8:00p,Washington Wizards,129,Oklahoma City Thunder,109
"Fri, Apr 23, 2021",10:00p,Denver Nuggets,97,Golden State Warriors,118
"Fri, Apr 23, 2021",10:00p,Memphis Grizzlies,130,Portland Trail Blazers,128
"Sat, Apr 24, 2021",1:00p,Toronto Raptors,103,New York Knicks,120
"Sat, Apr 24, 2021",3:30p,Philadelphia 76ers,94,Milwaukee Bucks,132
"Sat, Apr 24, 2021",7:00p,Detroit Pistons,109,Indiana Pacers,115
"Sat, Apr 24, 2021",8:00p,Chicago Bulls,101,Miami Heat,106
"Sat, Apr 24, 2021",8:00p,San Antonio Spurs,110,New Orleans Pelicans,108
"Sat, Apr 24, 2021",8:30p,Los Angeles Lakers,93,Dallas Mavericks,108
"Sat, Apr 24, 2021",9:00p,Minnesota Timberwolves,101,Utah Jazz,96
