FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
44.33333,0.5,0.329,0.741,112.0,0.00715,0.55754,0.60464,38.66667,0.477,0.412,0.81267,98.66667,-0.17578,0.53682,0.58534,1.0,0
44.33333,0.49267,0.31933,0.728,114.0,0.05058,0.54799,0.60312,38.66667,0.422,0.40233,0.811,104.0,-0.07016,0.48571,0.54332,0.66667,0
38.0,0.45767,0.26767,0.83567,102.66667,-0.02183,0.49565,0.5803,42.33333,0.51267,0.41433,0.78967,112.66667,-0.08761,0.5826,0.64528,0.66667,0
44.0,0.49433,0.36533,0.726,114.0,0.05757,0.55928,0.60996,37.0,0.41333,0.36167,0.761,112.0,0.01762,0.49993,0.58342,0.66667,0
39.33333,0.46167,0.355,0.80967,101.33333,-0.09284,0.5267,0.57399,39.0,0.442,0.288,0.63467,98.0,-0.0885,0.48934,0.53094,0.66667,1
42.66667,0.529,0.44467,0.76867,117.0,0.1286,0.59444,0.67416,45.66667,0.529,0.496,0.74167,120.0,0.05941,0.6062,0.66039,0.33333,0
40.33333,0.457,0.32767,0.85433,110.33333,0.13996,0.50038,0.58665,35.33333,0.44667,0.355,0.768,100.0,0.08363,0.50981,0.58961,0.33333,0
35.33333,0.40467,0.34933,0.828,104.33333,0.03466,0.46543,0.55764,36.33333,0.451,0.35867,0.77567,105.33333,0.03467,0.51758,0.60682,0.33333,1
41.0,0.50333,0.456,0.816,118.33333,0.08236,0.56652,0.669,37.33333,0.46067,0.34933,0.64667,101.0,-0.16653,0.51598,0.58107,1.0,1
37.0,0.45067,0.368,0.79867,98.66667,0.05117,0.51379,0.5738,40.0,0.45867,0.32567,0.718,103.0,-0.15587,0.51002,0.56271,1.0,0
41.0,0.47133,0.32333,0.82567,113.0,0.11156,0.52618,0.6083,39.66667,0.469,0.37633,0.747,107.33333,0.06465,0.53175,0.59851,0.33333,0
39.33333,0.495,0.371,0.784,104.66667,0.08804,0.56166,0.62389,38.0,0.469,0.395,0.69467,102.0,-0.11062,0.54572,0.59762,0.33333,0
38.66667,0.499,0.427,0.803,110.0,0.08909,0.56997,0.65999,34.33333,0.41,0.403,0.74133,102.66667,-0.08559,0.47975,0.56915,0.66667,0
43.66667,0.49367,0.30533,0.64567,106.0,-0.05276,0.53797,0.57694,36.66667,0.44967,0.29667,0.73667,104.0,0.02749,0.50259,0.58944,0.33333,1
34.66667,0.43333,0.31733,0.75433,101.0,-0.10122,0.51377,0.59042,36.33333,0.46,0.37733,0.78167,100.33333,-0.07374,0.52841,0.5981,0.66667,1
37.33333,0.45467,0.388,0.74733,103.0,-0.11517,0.5233,0.59133,45.33333,0.483,0.31267,0.72867,114.33333,-0.05597,0.52393,0.5796,0.66667,0
37.33333,0.44233,0.37433,0.75367,103.66667,0.07613,0.4886,0.57043,38.66667,0.48733,0.45567,0.85567,107.33333,0.13529,0.57797,0.64366,0.0,1
42.0,0.50533,0.42933,0.68767,106.33333,0.21186,0.56972,0.61348,38.0,0.44333,0.36167,0.77067,107.33333,0.06491,0.51207,0.58999,0.0,1
38.0,0.45933,0.31267,0.71733,102.0,-0.04593,0.51239,0.57803,34.0,0.40933,0.33067,0.753,91.0,-0.19689,0.46204,0.52074,1.0,1
42.66667,0.5,0.445,0.825,113.33333,0.17562,0.576,0.63592,43.66667,0.474,0.446,0.86533,118.33333,0.1178,0.52839,0.60745,0.0,0
38.33333,0.44567,0.248,0.781,99.66667,-0.17543,0.48581,0.54914,37.0,0.425,0.32967,0.79733,104.0,0.01201,0.47053,0.55835,0.33333,1
37.0,0.43,0.37933,0.84867,109.0,0.20801,0.49805,0.59227,36.33333,0.43633,0.358,0.73933,100.0,-0.15449,0.50915,0.57007,0.33333,1
