Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sun, Dec 17, 2017",3:30p,Sacramento Kings,93,Toronto Raptors,108
"Sun, Dec 17, 2017",4:00p,Orlando Magic,110,Detroit Pistons,114
"Sun, Dec 17, 2017",6:00p,Indiana Pacers,109,Brooklyn Nets,97
"Sun, Dec 17, 2017",6:00p,Cleveland Cavaliers,106,Washington Wizards,99
"Mon, Dec 18, 2017",7:00p,New York Knicks,91,Charlotte Hornets,109
"Mon, Dec 18, 2017",7:00p,Boston Celtics,112,Indiana Pacers,111
"Mon, Dec 18, 2017",7:30p,Miami Heat,104,Atlanta Hawks,110
"Mon, Dec 18, 2017",8:00p,Philadelphia 76ers,115,Chicago Bulls,117
"Mon, Dec 18, 2017",8:00p,Utah Jazz,99,Houston Rockets,120
"Mon, Dec 18, 2017",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,108
"Mon, Dec 18, 2017",8:00p,Denver Nuggets,94,Oklahoma City Thunder,95
"Mon, Dec 18, 2017",8:30p,Phoenix Suns,97,Dallas Mavericks,91
"Mon, Dec 18, 2017",8:30p,Los Angeles Clippers,91,San Antonio Spurs,109
"Mon, Dec 18, 2017",10:30p,Golden State Warriors,116,Los Angeles Lakers,114
"Tue, Dec 19, 2017",7:00p,Sacramento Kings,101,Philadelphia 76ers,95
"Tue, Dec 19, 2017",7:00p,New Orleans Pelicans,106,Washington Wizards,116
"Tue, Dec 19, 2017",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,119
"Wed, Dec 20, 2017",7:00p,Toronto Raptors,129,Charlotte Hornets,111
"Wed, Dec 20, 2017",7:30p,Indiana Pacers,105,Atlanta Hawks,95
"Wed, Dec 20, 2017",7:30p,Miami Heat,90,Boston Celtics,89
"Wed, Dec 20, 2017",7:30p,Sacramento Kings,104,Brooklyn Nets,99
"Wed, Dec 20, 2017",8:00p,Orlando Magic,94,Chicago Bulls,112
"Wed, Dec 20, 2017",8:00p,Los Angeles Lakers,122,Houston Rockets,116
"Wed, Dec 20, 2017",8:00p,Utah Jazz,79,Oklahoma City Thunder,107
"Wed, Dec 20, 2017",8:30p,Detroit Pistons,93,Dallas Mavericks,110
"Wed, Dec 20, 2017",9:00p,Minnesota Timberwolves,112,Denver Nuggets,104
"Wed, Dec 20, 2017",10:00p,San Antonio Spurs,93,Portland Trail Blazers,91
"Wed, Dec 20, 2017",10:30p,Memphis Grizzlies,84,Golden State Warriors,97
"Wed, Dec 20, 2017",10:30p,Phoenix Suns,95,Los Angeles Clippers,108
"Thu, Dec 21, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,115
"Thu, Dec 21, 2017",7:00p,Toronto Raptors,114,Philadelphia 76ers,109
"Thu, Dec 21, 2017",8:00p,Boston Celtics,93,New York Knicks,102
"Thu, Dec 21, 2017",9:00p,Memphis Grizzlies,95,Phoenix Suns,97
"Thu, Dec 21, 2017",10:30p,San Antonio Spurs,89,Utah Jazz,100
"Fri, Dec 22, 2017",7:00p,New York Knicks,101,Detroit Pistons,104
"Fri, Dec 22, 2017",7:00p,New Orleans Pelicans,111,Orlando Magic,97
"Fri, Dec 22, 2017",7:30p,Washington Wizards,84,Brooklyn Nets,119
"Fri, Dec 22, 2017",8:00p,Los Angeles Clippers,128,Houston Rockets,118
"Fri, Dec 22, 2017",8:00p,Dallas Mavericks,101,Miami Heat,113
"Fri, Dec 22, 2017",8:00p,Charlotte Hornets,104,Milwaukee Bucks,109
"Fri, Dec 22, 2017",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,120
"Fri, Dec 22, 2017",10:00p,Denver Nuggets,102,Portland Trail Blazers,85
"Fri, Dec 22, 2017",10:30p,Los Angeles Lakers,106,Golden State Warriors,113
"Sat, Dec 23, 2017",5:00p,Philadelphia 76ers,86,Toronto Raptors,102
"Sat, Dec 23, 2017",7:00p,Milwaukee Bucks,106,Charlotte Hornets,111
