,season,Team_away,index_sspg,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Team_home,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,index,Elo_pregame_away,Elo_pregame_home,Winner
21,2023,Houston Rockets,79,38.0,0.40449999999999997,0.3215,0.78,13.5,30.5,44.0,21.0,8.5,17.0,106.0,-0.1406706301685563,0.3578431372549019,0.4707446808510638,0.5357142711236171,1.0,Portland Trail Blazers,41.0,0.48450000000000004,0.34750000000000003,0.746,11.0,30.5,41.5,25.0,9.0,17.0,111.5,-0.054369750440377104,0.3889578163771712,0.5591880341880342,0.6236802760614477,79,1474.8834653942597,1506.1854888780088,0
22,2023,Houston Rockets,93,39.0,0.4315,0.346,0.8280000000000001,15.0,29.0,44.0,20.5,8.5,15.0,110.0,-0.1786902019609649,0.5180995475113122,0.5,0.575278686249886,1.0,Phoenix Suns,46.5,0.529,0.3015,0.8165,12.0,29.5,41.5,31.0,8.0,11.5,124.0,0.17289621482335898,0.4479166666666667,0.5916149068322981,0.6637401188938656,93,1468.6973183575635,1542.5678375229222,0
23,2023,Houston Rockets,101,36.0,0.4115,0.305,0.7925,12.0,34.5,46.5,17.5,8.0,14.0,101.0,-0.10835439141643255,0.4190283400809716,0.46590909090909094,0.5437344133234758,1.0,Los Angeles Clippers,36.5,0.422,0.266,0.6605,8.0,34.5,42.5,23.5,5.0,13.5,93.0,-0.1344317423179957,0.2133712660028449,0.4797848168938786,0.517757537234426,101,1468.6973183575635,1460.5068350427864,0
24,2023,Indiana Pacers,60,37.5,0.426,0.3365,0.7875000000000001,10.0,32.5,42.5,29.0,4.0,14.5,107.5,-0.1824910633276341,0.3044642857142857,0.5060723514211887,0.5773032918182768,1.0,Chicago Bulls,42.5,0.4885,0.5045,0.907,11.5,40.5,52.0,31.5,7.0,15.0,122.0,0.2102386196234859,0.3664314516129032,0.5632183908045977,0.657202051027245,60,1488.314321164588,1508.3306228173064,0
25,2023,Indiana Pacers,73,39.0,0.46799999999999997,0.4585,0.8505,5.5,34.0,39.5,30.5,4.5,14.5,118.0,-0.0338460092105938,0.17192118226600983,0.5610106230261269,0.6582645976859463,0.5,Washington Wizards,42.5,0.4975,0.35150000000000003,0.8334999999999999,9.0,33.5,42.5,25.5,6.0,12.0,118.5,0.07960700417007385,0.275,0.5614911080711353,0.6480706431878307,73,1496.2246437037124,1499.4310843150631,1
26,2023,Indiana Pacers,82,40.5,0.46599999999999997,0.5085,0.8775,11.0,36.0,47.0,30.5,5.5,11.5,126.0,0.1130616283616381,0.3897783251231527,0.5733188862621487,0.6731100650822984,0.0,Brooklyn Nets,42.0,0.481,0.351,0.8345,9.5,30.0,39.5,24.5,8.0,11.0,120.5,-0.07662313014784095,0.29999999999999993,0.5561237870443221,0.6443523753014795,82,1499.6139807286067,1481.846427978819,1
27,2023,Indiana Pacers,97,40.5,0.4485,0.391,0.7709999999999999,13.5,32.0,45.5,27.0,9.0,17.0,117.0,0.009003309591934697,0.45508658008658004,0.5411775495231108,0.6093800638746997,0.5,Brooklyn Nets,42.0,0.519,0.363,0.8594999999999999,6.0,30.5,36.5,27.5,8.5,14.0,116.0,-0.009003309591934502,0.1904761904761904,0.5958079268292682,0.6741992509557554,97,1495.9351496483755,1485.52525905905,0
28,2023,Los Angeles Clippers,35,39.0,0.48450000000000004,0.3595,0.777,7.5,41.5,49.0,21.0,7.5,17.5,107.0,0.05640961328463505,0.24999999999999994,0.5402391975308642,0.6198665093852521,0.0,Sacramento Kings,39.5,0.46499999999999997,0.393,0.6305000000000001,6.5,33.5,40.0,25.5,6.5,13.5,108.5,-0.058417045177043096,0.18917748917748917,0.5558823529411765,0.6031332455652183,35,1500.0,1500.0,1
29,2023,Los Angeles Clippers,53,38.0,0.46399999999999997,0.366,0.8435,6.0,37.5,43.5,22.5,6.5,15.5,102.5,-0.0870335544563259,0.17307692307692304,0.521828052952551,0.5935150525013482,0.5,Oklahoma City Thunder,41.5,0.40900000000000003,0.1765,0.757,16.0,35.0,51.0,21.5,9.5,8.0,107.0,0.03511905496072924,0.393452380952381,0.44202127659574464,0.5024744065506588,53,1477.6602452234856,1499.7642037588137,0
30,2023,Los Angeles Clippers,66,39.5,0.47950000000000004,0.322,0.75,8.5,37.0,45.5,21.0,5.5,18.5,102.0,-0.15079099316150643,0.3071348940914158,0.53669556273876,0.5901554305440626,1.0,Oklahoma City Thunder,44.5,0.4385,0.29000000000000004,0.8375,17.0,31.0,48.0,23.0,11.0,8.0,113.0,0.15079099316150646,0.45367647058823524,0.4921052631578947,0.5386442825467216,66,1474.3826163591775,1503.0418326231215,0
