Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,OddsAway,OddsHome,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
"Sat, Oct 26, 2019",Washington Wizards,240,47,95,0.495,16,34,0.471,12,17,0.706,8,33,41,30,3,8,12,15,122,San Antonio Spurs,240,50,108,0.463,10,28,0.357,14,17,0.824,21,32,53,29,6,7,9,19,124,0,0.02345897282398896,-0.02345897282398891,0.6363636363636364,0.25,0.5092592592592593,0.5789473684210527,0.5548594952568463,0.6177840794004457,7.5,1.1,1503.5,1504.0755510177007,0.5008282837383452,0.49917171626165485,1.996692344401308,2.003318632492034,1
"Sat, Oct 26, 2019",Sacramento Kings,240,30,81,0.37,7,26,0.269,14,17,0.824,6,25,31,16,5,3,17,19,81,Utah Jazz,240,44,78,0.564,18,37,0.486,7,12,0.583,2,41,43,28,6,1,21,22,113,0,0.480328959530563,-0.480328959530563,0.08,0.14634146341463414,0.6794871794871795,0.41358024691358025,0.7006448412698413,0.4779324994099599,4.5,1.22,1510.618913159307,1463.5537018369175,0.4731484999731185,0.5268515000268815,2.1135013638568316,1.898068051337003,1
"Sat, Oct 26, 2019",Los Angeles Clippers,240,40,87,0.46,11,32,0.344,31,39,0.795,10,31,41,20,8,4,12,32,122,Phoenix Suns,240,43,86,0.5,17,43,0.395,27,34,0.794,9,40,49,32,9,3,16,34,130,0,0.09163047546556834,-0.09163047546556824,0.2903225806451613,0.25,0.5988372093023255,0.5229885057471264,0.6953359007274283,0.6382088302992258,1.18,5.0,1518.5722818911704,1518.603967366459,0.5103259844529198,0.48967401554708023,1.9595318099900814,2.0421749332211685,1
"Sun, Oct 27, 2019",Golden State Warriors,240,30,92,0.326,5,33,0.152,27,31,0.871,12,27,39,17,13,2,14,15,92,Oklahoma City Thunder,240,44,78,0.564,15,32,0.469,17,22,0.773,8,42,50,24,8,5,23,26,120,0,0.3833286395515057,-0.38332863955150553,0.2962962962962963,0.2857142857142857,0.6602564102564102,0.3532608695652174,0.724287783679382,0.4654928152195912,2.0,1.83,1507.1179298717657,1470.630269852904,0.4897826963155505,0.5102173036844495,2.0417217829919694,1.959949207482118,1
"Sun, Oct 27, 2019",Brooklyn Nets,265,44,101,0.436,15,45,0.333,30,37,0.811,11,42,53,28,6,5,17,22,133,Memphis Grizzlies,265,50,103,0.485,14,33,0.424,20,25,0.8,8,41,49,33,9,10,12,29,134,0,0.01080675495658291,-0.010806754956582863,0.19047619047619047,0.2682926829268293,0.5533980582524272,0.5099009900990099,0.6175115207373272,0.6093091442184351,1.56,2.5,1481.651013331358,1500.0,0.5263817912437119,0.47361820875628813,1.8997617634858601,2.111405308140453,1
"Sun, Oct 27, 2019",Portland Trail Blazers,240,45,87,0.517,9,22,0.409,22,26,0.846,7,41,48,13,6,4,16,30,121,Dallas Mavericks,240,37,94,0.394,13,50,0.26,32,41,0.78,12,34,46,27,7,3,11,22,119,1,-0.024045473966650917,0.024045473966650913,0.2926829268292683,0.20588235294117646,0.4627659574468085,0.5689655172413793,0.5775577557755776,0.652502157031924,2.25,1.69,1506.9294928715078,1503.751843163889,0.4954271219759368,0.5045728780240631,2.0184603459165698,1.9818742614863851,0
"Sun, Oct 27, 2019",Miami Heat,240,42,85,0.494,15,36,0.417,10,15,0.667,7,34,41,25,7,9,21,23,109,Minnesota Timberwolves,240,39,91,0.429,13,45,0.289,25,33,0.758,14,32,46,24,12,1,16,17,116,0,0.08979667035064584,-0.08979667035064569,0.4117647058823529,0.21875,0.5,0.5823529411764706,0.5902707103602687,0.6172140430351076,3.4,1.33,1518.5,1511.5,0.5,0.5,2.0,2.0,1
"Sun, Oct 27, 2019",Charlotte Hornets,240,35,91,0.385,10,35,0.286,21,23,0.913,13,32,45,19,7,4,14,20,101,Los Angeles Lakers,240,49,93,0.527,11,31,0.355,11,14,0.786,10,37,47,30,7,8,13,22,120,0,0.24867911285672373,-0.24867911285672378,0.3125,0.35135135135135137,0.5860215053763441,0.43956043956043955,0.6244796003330558,0.5257130959816781,9.0,1.07,1510.5975341680364,1470.47800767185,0.4840664109383295,0.5159335890616704,2.0658322440955335,1.9382339533634596,1
"Mon, Oct 28, 2019",Chicago Bulls,240,36,85,0.424,9,35,0.257,17,21,0.81,8,30,38,19,6,5,9,22,98,New York Knicks,240,38,91,0.418,9,29,0.31,20,32,0.625,25,38,63,19,3,6,17,19,105,0,0.09953567355091437,-0.0995356735509144,0.8333333333333334,0.21052631578947367,0.46703296703296704,0.4764705882352941,0.5354957160342717,0.5467529569292569,1.74,2.15,1485.0508473782731,1484.6319701220896,0.50966450996421,0.4903354900357901,1.9620750129731865,2.039419989621818,1
"Mon, Oct 28, 2019",Indiana Pacers,240,39,94,0.415,6,21,0.286,10,13,0.769,13,32,45,24,11,4,7,18,94,Detroit Pistons,240,37,81,0.457,13,24,0.542,9,10,0.9,9,39,48,21,2,3,20,18,96,0,0.030373649043518695,-0.030373649043518865,0.28125,0.3333333333333333,0.5370370370370371,0.44680851063829785,0.5769230769230769,0.4852364237043155,1.77,2.1,1485.0416273694996,1489.0,0.5056963096682826,0.4943036903317174,1.9774714208532818,2.0230478136404764,1
