Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
Memphis Grizzlies,240,29,68,0.426,6,19,0.316,34,37,0.919,3,35,38,16,5,2,12,21,98,Houston Rockets,240,32,77,0.416,9,38,0.237,17,23,0.739,9,30,39,25,5,2,16,31,90,1,-0.12285674778553347,0.12285674778553338,0.2571428571428571,0.1,0.474025974025974,0.47058823529411764,0.5483792347063124,0.6435513527712109,1511.3495339083647,1518.411390448602,0.5000908491094543,0.4999091508905456,1.9996366695786731,2.0003634624783024,0
Charlotte Hornets,240,33,78,0.423,7,26,0.269,21,36,0.583,10,38,48,17,3,5,14,21,94,Milwaukee Bucks,240,40,85,0.471,9,26,0.346,14,16,0.875,5,37,42,24,8,4,13,27,103,0,0.13191167550558097,-0.13191167550558094,0.13157894736842105,0.2702702702702703,0.5235294117647059,0.46794871794871795,0.5817894261183914,0.5470204841713221,1492.0463950428598,1504.2772524796808,0.5282138683230344,0.4717861316769656,1.8931725574998348,2.119604483594073,1
Golden State Warriors,240,48,86,0.558,15,39,0.385,22,26,0.846,10,40,50,33,6,8,16,23,133,Dallas Mavericks,240,38,96,0.396,9,29,0.31,18,30,0.6,14,28,42,21,11,0,12,20,103,1,-0.3687819083179712,0.3687819083179713,0.35,0.35714285714285715,0.4427083333333333,0.6453488372093024,0.5019493177387915,0.7250327082424771,1467.2707775949066,1510.3927562082401,0.520655851983504,0.479344148016496,1.9206544902748606,2.086183807892417,0
Toronto Raptors,240,34,80,0.425,10,37,0.27,19,24,0.792,5,29,34,17,11,4,14,30,97,San Antonio Spurs,240,40,90,0.444,5,20,0.25,16,23,0.696,18,37,55,19,4,12,20,22,101,0,0.05829864056466716,-0.05829864056466711,0.6206896551724138,0.13513513513513514,0.4722222222222222,0.4875,0.5312434252051336,0.5687148217636022,1510.6010223968028,1529.0267045112446,0.5264918562991516,0.47350814370084837,1.8993646113147133,2.1118960957760784,1
Washington Wizards,240,37,84,0.44,9,30,0.3,26,28,0.929,10,28,38,24,13,3,15,24,109,Denver Nuggets,240,39,80,0.488,8,23,0.348,18,23,0.783,9,35,44,27,5,2,23,22,104,1,-0.06774460663583412,0.06774460663583427,0.32142857142857145,0.2857142857142857,0.5375,0.49404761904761907,0.6113331765812368,0.6044809228039042,1507.8237507423705,1500.0,0.4887426203604703,0.5112573796395297,2.0460666992014196,1.9559619867102285,0
Sacramento Kings,240,43,99,0.434,9,22,0.409,20,29,0.69,13,24,37,19,13,2,9,25,115,Phoenix Suns,240,42,77,0.545,10,30,0.333,23,27,0.852,6,39,45,20,6,5,20,25,117,0,0.024874668639029162,-0.024874668639029377,0.25,0.3333333333333333,0.6103896103896104,0.4797979797979798,0.7053291536050157,0.5456443347883849,1471.2919947606663,1484.6762492576295,0.5192519680598469,0.4807480319401531,1.9258472986369963,2.0800917186583243,1
Chicago Bulls,240,42,88,0.477,17,33,0.515,11,13,0.846,8,31,39,28,3,3,9,20,112,Cleveland Cavaliers,240,43,83,0.518,16,38,0.421,17,22,0.773,8,31,39,28,5,3,9,14,119,0,0.0874628412503394,-0.08746284125033943,0.25806451612903225,0.25806451612903225,0.6144578313253012,0.5738636363636364,0.6773679417122039,0.6163328197226502,1502.9294594907815,1474.6177901124663,0.4687410701044135,0.5312589298955864,2.133373975054601,1.882321300832609,1
Brooklyn Nets,240,40,96,0.417,11,35,0.314,30,34,0.882,14,35,49,21,8,4,15,27,121,Orlando Magic,240,41,83,0.494,8,23,0.348,35,40,0.875,6,38,44,20,8,5,11,23,125,0,0.04692104738749238,-0.04692104738749257,0.17142857142857143,0.3684210526315789,0.5421686746987951,0.4739583333333333,0.6808278867102396,0.5846540394279087,1519.0028300353508,1503.817094098921,0.47815987523560555,0.5218401247643945,2.091350721361273,1.9162957245794197,1
New York Knicks,240,36,85,0.424,1,12,0.083,16,25,0.64,11,32,43,20,8,2,14,17,89,Boston Celtics,240,37,75,0.493,14,29,0.483,22,27,0.815,5,36,41,26,11,7,12,24,110,0,0.30562628255826174,-0.30562628255826185,0.15625,0.3055555555555556,0.5866666666666667,0.4294117647058823,0.6795156906350384,0.49171270718232046,1518.2528198018863,1470.8227312158144,0.47257562613951537,0.5274243738604846,2.1160634291891656,1.896006422078101,1
Indiana Pacers,240,56,84,0.667,10,22,0.455,8,11,0.727,8,34,42,31,8,2,17,21,130,Minnesota Timberwolves,240,42,86,0.488,9,24,0.375,14,22,0.636,9,18,27,27,9,4,14,14,107,1,-0.28090082662730764,0.2809008266273075,0.2647058823529412,0.4444444444444444,0.5406976744186046,0.7261904761904762,0.5889476001761338,0.7521407081694053,1481.176090180242,1504.3202234919804,0.48920300600806726,0.5107969939919328,2.04414115963856,1.957724911779323,0
New Orleans Pelicans,240,30,76,0.395,9,30,0.3,24,32,0.75,4,38,42,17,5,7,17,26,93,Portland Trail Blazers,240,33,88,0.375,10,29,0.345,27,33,0.818,18,45,63,17,7,7,18,22,103,0,0.14734171607518687,-0.14734171607518692,0.47368421052631576,0.08888888888888889,0.4318181818181818,0.45394736842105265,0.5406256560990972,0.5599710982658959,1536.2086403189403,1485.8295334984957,0.4469969327441861,0.5530030672558138,2.237151816368938,1.80830823409775,1
